project_theme,category
Residential Complex,Real Estate
Sports Complex,Recreational
Airport,Transportation
Factory,Industrial
Hotel,Hospitality
Urban Development,General
Water Treatment System,General
City,Urban Development
Power Plant,Energy
School,Education
Hospital,Healthcare
Mall,Commercial
Office Building,Commercial
Bridge,Infrastructure
Office Tower,Commercial
Historical Building,Cultural
Shopping Center,Commercial
Residential Building,Real Estate
Government Building,Government
Road,Infrastructure
Highways,Infrastructure
Public Transportation,General
